Dzielnica   Nazwa szkoły                                                                   Symbol oddziału     Nazwa krótka oddziału                                              Najmniejsza liczba punktów kandydatów zakwalifikowanych
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1CN             1CN [O] biz-geogr-mat (ang-niem)                              162.60
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1DF             1DF [O] biol-chem-mat (ang-fra)                               163.00
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1DH             1DH [O] biol-chem-mat (ang-hisz)                              167.50
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1EH             1EH [O] geogr-mat-wos (ang-hisz)                              161.15
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1EN             1EN [O] geogr-mat-wos (ang-niem)                              158.25
Mokotów   XLII Liceum Ogólnokształcące im. Marii Konopnickiej                                1a              1a [O] fiz-ang-mat (ang-niem)                                 140.65
Mokotów   XLII Liceum Ogólnokształcące im. Marii Konopnickiej                                1b              1b [O] hist-ang-pol (ang-wlo)                                 137.85
Mokotów   XLII Liceum Ogólnokształcące im. Marii Konopnickiej                                1c              1c [O] biol-chem-ang (ang-fra)                                153.80
Mokotów   XLII Liceum Ogólnokształcące im. Marii Konopnickiej                                1d              1d [O] geogr-ang-mat (ang-fra)                                139.45
Mokotów   XLII Liceum Ogólnokształcące im. Marii Konopnickiej                                1e              1e [O] geogr-ang-mat (ang-niem)                               135.85
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Ah             1Ah [O] geogr-ang-mat (ang-hisz)                              161.20
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1An             1An [O] geogr-ang-mat (ang-niem)                              155.25
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Bh             1Bh [O] biol-ang-pol (ang-hisz)                               164.20
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Bn             1Bn [O] biol-ang-pol (ang-niem)                               158.15
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Cf             1Cf [O] biol-chem-ang (ang-fra)                               153.55
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Ch             1Ch [O] biol-chem-ang (ang-hisz)                              159.80
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Df             1Df [O] hist-ang-wos (ang-fra)                                151.35
Mokotów   XLIII Liceum Ogólnokształcące im. Kazimierza Wielkiego                             1Dr             1Dr [O] hist-ang-wos (ang-ros)                                145.10
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1A1             1A1 [O] fiz-mat (ang-niem)                                    155.00
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1A2             1A2 [O] fiz-mat (ang-fra)                                     144.00
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1B1             1B1 [O] biol-chem (ang-niem)                                  163.65
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1B2             1B2 [O] biol-chem (ang-fra)                                   162.00
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1C1             1C1 [O] geogr-ang-mat (ang-niem)                              156.55
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1C2             1C2 [O] geogr-ang-mat (ang-fra)                               151.40
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1D1             1D1 [O] hist-ang-wos (ang-hisz)                               152.70
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1D2             1D2 [O] hist-ang-wos (ang-fra)                                145.95
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1E1             1E1 [O] biz-ang-mat (ang-hisz)                                160.40
Mokotów   XLIV Liceum Ogólnokształcące im. Stefana Banacha                                   1E2             1E2 [O] biz-ang-mat (ang-fra)                                 150.80
Mokotów   XLIX Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. Johanna Wolfganga Goethego   1A              1A [O] hist-ang-pol (ang-niem*)                               143.60
Mokotów   XLIX Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. Johanna Wolfganga Goethego   1B1             1B1 [O] geogr-ang-niem (niem*-ang)                            154.55
Mokotów   XLIX Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. Johanna Wolfganga Goethego   1B2             1B2 [O] geogr-ang-hiszp (hisz*-ang)                           161.05
Mokotów   XLIX Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. Johanna Wolfganga Goethego   1C              1C [O] inf-ang-mat (ang-niem*)                                161.15
Mokotów   XLIX Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. Johanna Wolfganga Goethego   1D              1D [O] geogr-ang-mat (ang-niem*)                              155.90
Mokotów   XLIX Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. Johanna Wolfganga Goethego   1E              1E [D] hist-ang-wos (niem-ang)                                99.70
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                             1A1             1A1 [O] fiz-mat (ang-niem)                                    171.10
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                             1A2             1A2 [O] fiz-mat (ang-hisz)                                    173.35
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                             1B1             1B1 [O] fiz-inf-mat (ang-niem)                                168.80
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                             1B2             1B2 [O] fiz-inf-mat (ang-hisz)                                171.25
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                             1C1             1C1 [O] geogr-niem-mat (ang-niem)                             172.95
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                             1C2             1C2 [O] geogr-hiszp-mat (ang-hisz)                            175.80
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                                                1D1             1D1 [O] biol-chem (ang-niem)                                             173.10
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                                                1D2             1D2 [O] biol-chem (ang-fra)                                              173.20
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                                                1E1             1E1 [O] hist-pol-wos (ang-niem)                                          161.55
Mokotów   XXVIII Liceum Ogólnokształcące im. Jana Kochanowskiego                                                1E2             1E2 [O] hist-pol-wos (ang-hisz)                                          168.75
Mokotów   XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa                    0H              0H [DW] geogr-hist-hiszp (hisz-ang)                                      228.45
Mokotów   XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa                    1a              1a [O] geogr-hiszp-mat (hisz*-ang)                                       166.30
Mokotów   XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa                    1c              1c [O] h.szt.-hiszp-pol (hisz*-ang)                                      214.25
Mokotów   XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa                    1d              1d [O] ang-hiszp-pol (hisz*-ang)                                         163.25
Mokotów   XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa                    1e              1e [O] hist-ang-hiszp (hisz*-ang)                                        152.40
Mokotów   XXXIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Miguela de Cervantesa                    1f              1f [O] geogr-ang-hiszp (hisz*-ang)                                       164.20
Ochota    Branżowa Szkoła Samochodowa I stopnia nr 2                                                            1ABC/bsI        1ABC/bsI [O] Mechanik pojazdów samochodowych (ang)                       19.00
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1a1             1a1 [O] geogr-mat (ang-niem)                                             140.45
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1a2             1a2 [O] geogr-mat (ang-fra)                                              139.10
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1b              1b [O] biz-ang (ang-niem)                                                136.70
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1c1             1c1 [O] biol (ang-hisz)                                                  154.25
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1c2             1c2 [O] biol (ang-niem)                                                  142.95
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1d              1d [O] mat (ang-niem)                                                    131.85
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1e1             1e1 [O] ang-hiszp-pol (ang-hisz)                                         145.30
Ochota    CLX Liceum Ogólnokształcące im. gen. dyw. Stefana Roweckiego „Grota”                                  1e2             1e2 [O] ang-niem-pol (ang-niem)                                          133.10
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1A/1            1A/1 [I-o] hist-wos (ang-ros,niem)                                       130.10
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1A/2            1A/2 [I-i] hist-wos (ang-ros,niem)                                       n.d.
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1B/1            1B/1 [I-o] geogr-ang (ang-hisz)                                          149.85
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1B/2            1B/2 [I-i] geogr-ang (ang-hisz)                                          n.d.
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1C/1            1C/1 [I-o] biol-chem (ang-niem)                                          147.90
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1C/2            1C/2 [I-i] biol-chem (ang-niem)                                          n.d.
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1D              1D [O] inf-mat (ang-niem)                                                132.40
Ochota    LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944   1E              1E [O] ang-pol (ang-hisz,niem)                                           140.80
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1AE(ang-niem)   1AE(ang-niem) [O] Technik ekonomista (ang-niem)                          93.05
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1AE(ang-ros)    1AE(ang-ros) [O] Technik ekonomista (ang-ros)                            80.45
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1AH(ang-niem)   1AH(ang-niem) [O] Technik handlowiec (ang-niem)                          65.25
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1AH(ang-ros)    1AH(ang-ros) [O] Technik handlowiec (ang-ros)                            44.20
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1AR(ang-niem)   1AR(ang-niem) [O] Technik reklamy (ang-niem)                             76.30
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1AR(ang-ros)    1AR(ang-ros) [O] Technik reklamy (ang-ros)                               74.25
Ochota    Technikum nr 10 im. Eugeniusza Kwiatkowskiego                                                         1BR(ang-wł)     1BR(ang-wł) [O] Technik reklamy (ang-wlo)                                66.40
Ochota    Technikum nr 24                                                                                       1ABI            1ABI [O] Technik informatyk (ang-niem,ros)                               100.15
Ochota    Technikum nr 24                                                                                       1CDG            1CDG [O] Technik grafiki i poligrafii cyfrowej (ang-niem,ros)            81.75
Ochota    Technikum nr 7                                                                                        1e              1e [O] Technik elektryk (ang-niem)                                       108.00
Ochota    Technikum nr 7                                                                                        1eg             1eg [O] Technik elektroenergetyk transportu szynowego (ang-niem)         28.15
Ochota    Technikum nr 7                                                                                        1la             1la [O] Technik logistyk (ang-niem)                                      81.50
Ochota    Technikum nr 7                                                                                        1lb             1lb [O] Technik logistyk (ang-niem)                                      80.15
Ochota    Technikum nr 7                                                                                        1oze            1oze [O] Technik urządzeń i systemów energetyki odnawialnej (ang-niem)   59.80
Ochota    Technikum nr 7                                                                                        1tk             1tk [O] Technik transportu kolejowego (ang-niem)                         65.30
Ochota    Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego                                           1ABC            1ABC [O] Technik pojazdów samochodowych (ang-niem*)                      82.45
Ochota    Technikum Samochodowe nr 1 im. Romana Macieja Pijanowskiego                                           1D              1D [O] Technik pojazdów samochodowych (ang-ros*)                         77.50
Ochota    VII Liceum Ogólnokształcące im. Juliusza Słowackiego                                                  1A              1A [O] hist-pol-wos (ang-fra*)                                           172.90
Ochota    VII Liceum Ogólnokształcące im. Juliusza Słowackiego                                                  1B              1B [O] geogr-niem-mat (ang-niem*)                                        172.80
Ochota    VII Liceum Ogólnokształcące im. Juliusza Słowackiego                                                  1C              1C [O] fiz-inf-mat (ang-niem*)                                           172.45
Ochota    VII Liceum Ogólnokształcące im. Juliusza Słowackiego                                                  1D              1D [O] hist-pol-wos (ang-fra*)                                           170.35
Ochota    VII Liceum Ogólnokształcące im. Juliusza Słowackiego                                                  1E              1E [O] biol-chem (ang-niem*)                                             173.00
Ochota    XIV Liceum Ogólnokształcące im. Stanisława Staszica                                                   1AB             1AB [O] fiz-mat (ang-niem,hisz*)                                         403.70
Ochota    XIV Liceum Ogólnokształcące im. Stanisława Staszica                                                   1C              1C [O] fiz-inf-mat (ang-niem,hisz)                                       181.70
Ochota    XIV Liceum Ogólnokształcące im. Stanisława Staszica                                                   1D              1D [O] biol-chem-mat (ang-niem,hisz*)                                    185.85
Ochota    XIV Liceum Ogólnokształcące im. Stanisława Staszica                                                   1E              1E [O] chem-fiz-mat (ang-niem,hisz*)                                     172.80
Ochota    XIV Liceum Ogólnokształcące im. Stanisława Staszica                                                   1FG             1FG [O] fiz-mat (ang-niem,hisz*)                                         170.60
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1A_hist_hiszp   1A_hist_hiszp [O] hist-pol (ang-hisz)                                    148.55
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1A_hist_niem    1A_hist_niem [O] hist-pol (ang-niem)                                     141.20
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1A_hist_ros     1A_hist_ros [O] hist-pol (ang-ros)                                       145.25
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1A_wos_hiszp    1A_wos_hiszp [O] pol-wos (ang-hisz)                                      151.90
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1A_wos_niem     1A_wos_niem [O] pol-wos (ang-niem)                                       144.90
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1A_wos_ros      1A_wos_ros [O] pol-wos (ang-ros)                                         144.35
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1B_hiszp        1B_hiszp [O] biol-chem (ang-hisz)                                        165.40
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1B_niem         1B_niem [O] biol-chem (ang-niem)                                         160.65
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1B_ros          1B_ros [O] biol-chem (ang-ros)                                           155.10
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1C_hiszp        1C_hiszp [O] geogr-ang (ang-hisz)                                        165.60
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1C_niem         1C_niem [O] geogr-ang (ang-niem)                                         148.30
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1C_ros          1C_ros [O] geogr-ang (ang-ros)                                           145.00
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1D_fiz_hiszp    1D_fiz_hiszp [O] fiz-mat (ang-hisz)                                      163.20
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1D_fiz_niem     1D_fiz_niem [O] fiz-mat (ang-niem)                                       156.00
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1D_fiz_ros      1D_fiz_ros [O] fiz-mat (ang-ros)                                         154.55
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1D_geo_hiszp    1D_geo_hiszp [O] geogr-mat (ang-hisz)                                    160.60
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1D_geo_niem     1D_geo_niem [O] geogr-mat (ang-niem)                                     153.40
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1D_geo_ros      1D_geo_ros [O] geogr-mat (ang-ros)                                       151.75
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1E_hiszp        1E_hiszp [O] biz-mat (ang-hisz)                                          159.80
Ochota    XLVIII Liceum Ogólnokształcące im. Edwarda Dembowskiego                                               1E_niem         1E_niem [O] biz-mat (ang-niem)                                           154.70
Ochota    XXI Liceum Ogólnokształcące im. Hugona Kołłątaja                                                      1A              1A [D] fiz-inf-mat (ang-hisz*,niem*)                                     178.05
Ochota           XXI Liceum Ogólnokształcące im. Hugona Kołłątaja                                     1B       1B [O] biz-geogr-mat (ang-hisz*,niem*)                                 163.50
Ochota           XXI Liceum Ogólnokształcące im. Hugona Kołłątaja                                     1C       1C [O] fiz-ang-mat (ang-hisz*,niem*)                                   166.30
Ochota           XXI Liceum Ogólnokształcące im. Hugona Kołłątaja                                     1D       1D [D] biol-chem (ang-fra*,niem*)                                      179.16
Ochota           XXI Liceum Ogólnokształcące im. Hugona Kołłątaja                                     1E       1E [O] hist-ang-wos (ang-fra*,niem*)                                   156.40
Praga-Południe   Branżowa Szkoła I stopnia nr 20 im. prof. Stanisława Bergera                         1a       1a [O] Kucharz (ang)                                                   26.90
Praga-Południe   Branżowa Szkoła I stopnia nr 20 im. prof. Stanisława Bergera                         1b       1b [O] Pracownik obsługi hotelowej (ang)                               27.85
Praga-Południe   Branżowa Szkoła I stopnia nr 20 im. prof. Stanisława Bergera                         1c       1c [O] Cukiernik (ang)                                                 25.45
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1a       1a [I-o] Kucharz (ang)                                                 53.20
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1ai      1ai [I-i] Kucharz (ang)                                                n.d.
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1b       1b [I-o] Kucharz (ang)                                                 39.80
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1bi      1bi [I-i] Kucharz (ang)                                                n.d.
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1c       1c [I-o] Cukiernik (ang)                                               42.15
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1ci      1ci [I-i] Cukiernik (ang)                                              n.d.
Praga-Południe   Branżowa Szkoła Spożywczo-Gastronomiczna I stopnia im. Jana Pawła II                 1d       1d [O] Kelner (ang)                                                    30.45
Praga-Południe   CXI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stefana Kisielewskiego   1Aa      1Aa [I-o] hist-ang-pol (ang-niem)                                      110.75
Praga-Południe   CXI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stefana Kisielewskiego   1Aai     1Aai [I-i] hist-ang-pol (ang-niem)                                     n.d.
Praga-Południe   CXI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stefana Kisielewskiego   1Bm      1Bm [O] hist-ang-pol (ang-niem)                                        96.05
Praga-Południe   IV Liceum Ogólnokształcące im. Adama Mickiewicza                                     1D       1D [O] ang-mat-wos (ang-hisz)                                          159.35
Praga-Południe   IV Liceum Ogólnokształcące im. Adama Mickiewicza                                     1I       1I [O] inf-ang-mat (ang-niem)                                          159.65
Praga-Południe   IV Liceum Ogólnokształcące im. Adama Mickiewicza                                     1L       1L [O] biol-chem-mat (ang-niem)                                        165.05
Praga-Południe   IV Liceum Ogólnokształcące im. Adama Mickiewicza                                     1S       1S [O] geogr-ang-mat (ang-niem)                                        164.40
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1a-h     1a-h [O] hist-ang-pol (ang-hisz*)                                      132.80
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1a-n     1a-n [O] hist-ang-pol (ang-niem*)                                      126.95
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1b-h     1b-h [O] geogr-ang-mat (ang-hisz*)                                     136.20
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1b-n     1b-n [O] geogr-ang-mat (ang-niem*)                                     129.05
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1c-h     1c-h [O] biol-ang-mat (ang-hisz*)                                      142.00
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1c-n     1c-n [O] biol-ang-mat (ang-niem*)                                      120.80
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1d-n     1d-n [O] biol-chem-ang (ang-niem*)                                     148.05
Praga-Południe   LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego                            1d-r     1d-r [O] biol-chem-ang (ang-ros*)                                      135.90
Praga-Południe   LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego                        1Lb      1Lb [O] biol-chem-ang (ang-niem)                                       123.00
Praga-Południe   Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. Stanisława Bergera               1d       1d [O] Technik żywienia i usług gastronomicznych (ang-niem)            72.35
Praga-Południe   Technikum Gastronomiczno-Hotelarskie nr 2 im. prof. Stanisława Bergera               1h       1h [O] Technik hotelarstwa (ang-niem)                                  61.40
Praga-Południe   Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego                         1a       1a [O] Technik telekomunikacji (ang-niem)                              97.50
Praga-Południe   Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego                         1b       1b [O] Technik informatyk (ang-niem)                                   113.10
Praga-Południe   Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego                         1c       1c [O] Technik programista (ang-niem)                                  135.70
Praga-Południe   Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego                         1d       1d [O] Technik teleinformatyk (ang-niem)                               101.55
Praga-Południe   Technikum Łączności im. prof. dr inż. Janusza Groszkowskiego                         1e       1e [O] Technik szerokopasmowej komunikacji elektronicznej (ang-niem)   88.15
Praga-Południe   Technikum nr 12                                                                      1AE      1AE [O] Technik eksploatacji portów i terminali (ang-niem)             66.65
Praga-Południe   Technikum nr 12                                                                      1AL      1AL [O] Technik logistyk (ang-niem)                                    77.40
Praga-Południe   Technikum nr 12                                                                      1AT      1AT [O] Technik organizacji turystyki (ang-hisz)                       85.50
Praga-Południe   Technikum nr 2 z Oddziałami Integracyjnymi                                           1ae      1ae [I-o] Technik ekonomista (ang-niem)                                63.80
Praga-Południe   Technikum nr 2 z Oddziałami Integracyjnymi                                           1aei     1aei [I-i] Technik ekonomista (ang-niem)                               n.d.
Praga-Południe   Technikum nr 2 z Oddziałami Integracyjnymi                                           1br      1br [I-o] Technik reklamy (ang-niem)                                   74.00
Praga-Południe   Technikum nr 2 z Oddziałami Integracyjnymi                                           1bri     1bri [I-i] Technik reklamy (ang-niem)                                  n.d.
Praga-Południe   Technikum nr 2 z Oddziałami Integracyjnymi                                           1cR      1cR [I-o] Technik rachunkowości (ang-niem)                             47.15
Praga-Południe   Technikum nr 2 z Oddziałami Integracyjnymi                                           1cRi     1cRi [I-i] Technik rachunkowości (ang-niem)                            n.d.
Praga-Południe   Technikum nr 27 im. prof. Józefa Zawadzkiego                                         1TAB     1TAB [O] Technik analityk (ang-niem*)                                  35.55
Praga-Południe   Technikum nr 27 im. prof. Józefa Zawadzkiego                                         1TFA     1TFA [O] Technik usług fryzjerskich (ang-niem)                         78.85
Praga-Południe   Technikum nr 27 im. prof. Józefa Zawadzkiego                                         1TK      1TK [O] Technik chłodnictwa i klimatyzacji (ang-niem)                  73.15
Praga-Południe   Technikum Spożywczo-Gastronomiczne im. Jana Pawła II                                 1AT      1AT [O] Technik żywienia i usług gastronomicznych (ang-hisz)           81.40
Praga-Południe   Technikum Spożywczo-Gastronomiczne im. Jana Pawła II                                 1ATT     1ATT [O] Technik żywienia i usług gastronomicznych (ang-niem)          87.50
Praga-Południe   Technikum Spożywczo-Gastronomiczne im. Jana Pawła II                                 1BT      1BT [O] Technik technologii żywności (ang-hisz)                        53.90
Praga-Południe   Technikum Spożywczo-Gastronomiczne im. Jana Pawła II                                 1BTT     1BTT [O] Technik technologii żywności (ang-niem)                       42.50
Praga-Południe   XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta       1A       1A [O] hist-ang-pol (ang-fra*,niem*)                                   140.45
Praga-Południe   XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta       1B       1B [O] fiz-inf-mat (ang-fra*,niem*)                                    143.30
Praga-Południe   XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta       1D       1D [O] geogr-ang-mat (ang-niem*)                                       139.50
Praga-Południe   XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta       1E       1E [D] geogr-mat (ang-hisz,fra)                                        93.92
Praga-Południe   XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta       1F       1F [O] biol-chem-mat (ang-niem*,fra*)                                  144.80
Praga-Południe   XCVI Liceum Ogólnokształcące im. Agnieszki Osieckiej                                 1La      1La [O] hist-pol (ang-fra)                                             104.45
Praga-Południe   XCVII Liceum Ogólnokształcące im. Olimpijczyków Polskich                             1DM(d)   1DM(d) [O] hist-ang-pol (ang-fra)                                      96.15
Praga-Południe   XCVII Liceum Ogólnokształcące im. Olimpijczyków Polskich                             1DM(m)   1DM(m) [O] hist-ang-pol (ang-hisz)                                     115.35
Praga-Południe   XIX Liceum Ogólnokształcące im. Powstańców Warszawy                                  1A       1A [O] biol-chem-mat (ang-fra*,hisz*,niem*,ros*,łac)                   169.55
Praga-Południe   XIX Liceum Ogólnokształcące im. Powstańców Warszawy                                  1B       1B [O] hist-pol-wos (ang-fra*,hisz*,niem*,ros*,łac)                    162.80
Praga-Południe   XIX Liceum Ogólnokształcące im. Powstańców Warszawy                                  1C       1C [O] geogr-ang-mat (ang-fra*,hisz*,niem*,ros*,łac)                   171.05
Praga-Południe   XIX Liceum Ogólnokształcące im. Powstańców Warszawy                                  1D       1D [O] fiz-ang-mat (ang-fra*,hisz*,niem*,ros*,łac)                     167.45
Praga-Południe   XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego                           1A       1A [O] inf-ang-mat (ang-hisz*,niem*)                                   156.25
Praga-Południe   XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego                           1B       1B [O] geogr-ang-mat (ang-hisz*,niem*)                                 153.60
Praga-Południe   XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego                           1C       1C [O] biol-chem-ang (ang-hisz*,niem*)                                 156.70
